Source_Name_3FGL,Flux_Density_log,Unc_Energy_Flux100_log,Spec_index,signif_curv_log,variability_index__log,hr12,hr23,hr34,hr45,GLAT_3FGL,Category_3FGL,Class_3FGL,Pivot_Energy,Spectrum_Type,Assoc1,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,Times_in_Testing,GLON_3FGL,Flags_3FGL
3FGL J0001.2-0748,-28.353826052025752,-27.686984878942162,2.1493483,0.6419789836105418,3.906773510910414,-0.32466768297282894,-0.5991181563942726,-0.42514678541356277,-0.9088875391495517,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,0.9035822413974519,0.09641775860254785,0.9022428464835222,0.09775715351647737,0.896776516806403,0.10322348319359627,0.8969063763810586,0.10309362361894142,301,89.0222,0
3FGL J0002.2-4152,-30.245040628153227,-28.02967273863602,2.0889208,-1.6080757406115354,4.0316009625820435,-0.8073907957081463,-0.7380671086874941,0.06745562131471436,-0.5806243152750442,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,0.9108639141620603,0.08913608583793992,0.905984810277044,0.09401518972295617,0.908430975260191,0.09156902473980906,0.909043624986642,0.09095637501335814,287,334.0701,0
3FGL J0003.2-5246,-31.54365876020846,-27.907395033912433,1.8952075,-0.0954506696725643,3.812875084908427,-0.9997487737079693,0.991051088555087,-0.3971292560211149,-0.4543910915669077,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,0.9098357344614101,0.09016426553859008,0.9103704979900894,0.08962950200991102,0.9113242656388134,0.08867573436118756,0.9078492053114946,0.0921507946885054,292,318.97614,0
3FGL J0003.8-1151,-30.751142925081226,-27.97315838860841,2.0235214,0.5819362512239435,3.881391535684466,0.7961203941053213,-0.38962400691509436,-0.6645561355471007,-0.4490346613946677,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,0.9202207792143668,0.07977922078563293,0.9110710714069916,0.08892892859300859,0.9165846627151112,0.0834153372848883,0.914060208241812,0.08593979175818797,309,84.43189,0
3FGL J0004.7-4740,-26.87682869614172,-27.845742731513365,2.4035163,0.6075822115632094,4.726791667598244,-0.5321414324985754,-0.6983471242049015,-0.6358005037263156,-0.9999927145669273,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,0.9194469425704328,0.08055305742956688,0.9162204608463116,0.08377953915368863,0.9152556605117294,0.08474433948827062,0.9161518601872766,0.0838481398127235,297,323.81558,0
3FGL J0006.4+3825,-25.8193488947493,-27.59842798986845,2.6171293,0.8233172678218296,4.387791237378734,-0.7274684208776793,-0.714511877219373,-0.884553713410013,-0.6399088615045486,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,0.9110397744910945,0.08896022550890521,0.9125806048909642,0.08741939510903556,0.9092302376979872,0.09076976230201343,0.9114410064456915,0.08855899355430887,300,113.33189,0
3FGL J0008.0+4713,-28.196298173653947,-27.237142944515924,2.0209966,0.9218680695704783,3.603143826646084,-0.12863138602416413,-0.5190584664401893,-0.418792940636835,-0.6331874013196694,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,0.914740963392394,0.08525903660760614,0.9164573042158252,0.08354269578417586,0.9125476525350582,0.08745234746494165,0.9153810269035579,0.08461897309644215,294,115.33255,0
3FGL J0008.6-2340,-32.76020458520079,-27.684863762417628,1.5989343,-0.1639293000735365,3.8575459957616287,0.032599993121025315,0.9995702073175866,-0.7395764568911064,0.416237882001124,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,0.9266935966008786,0.07330640339912166,0.9195603655462019,0.08043963445379802,0.917576454267022,0.08242354573297754,0.9195123203415746,0.08048767965842597,317,50.280113,0
3FGL J0009.1+0630,-29.01520690165684,-27.710919559008723,2.1793637,-0.9968615122868939,4.116717136009044,-0.513312783326616,-0.5993156472970991,-0.5418718931079535,-0.5171100659118245,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,0.9222059039790864,0.07779409602091399,0.9235627707238678,0.07643722927613288,0.9216937905163877,0.07830620948361176,0.9223166616149326,0.0776833383850675,312,104.4891,0
3FGL J0009.3+5030,-27.535807940829027,-26.978527819020282,1.9286355,0.7596332726993131,4.599523674403958,-0.5314424675012004,-0.47112913835755854,-0.4031814383500992,-0.5631493005140553,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,0.9403289049345561,0.05967109506544372,0.9255806289366555,0.07441937106334526,0.9308903694634494,0.06910963053655043,0.9302282803724967,0.06977171962750335,290,116.11642,0
