Source_Name_3FGL,Ln_Flux_Density,Ln_Unc_Energy_Flux100,Spectral_Index,Ln_Signif_Curve,Ln_Variability_Index,HR12,HR23,HR34,HR45,GLAT,Category_3FGL,CLASS_3FGL,Pivot_Energy,Spectrum_Type,ASSOC1,GLON,Category_Prob_O,Source_Name,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,Flags,Category_Prob
3FGL J0001.2-0748,-28.353826,-27.6869849,2.1493483,0.641978984,3.90677351,-0.324667683,-0.599118156,-0.425146785,-0.908887539,-67.32425,AGN,bll,1263.8359,PowerLaw,PMN J0001-0746,89.0222015,AGN,3FGL J0001.2-0748,0.848638367,0.115132381,0.151361633,0.115132381,0.938042154,0.0425666825,0.0619578463,0.0425666825,0.820895854,0.0649164875,0.179104146,0.0649164875,0.749599317,0.0730201415,0.250400683,0.0730201415,0.979714057,0.019891015,0.0202859431,0.019891015,0.971467825,0.012308756,0.0285321748,0.012308756,0.895456074,0.0414526017,0.104543926,0.0414526017,0.953469369,0.0129307718,0.0465306306,0.0129307718,0,AGN
3FGL J0002.2-4152,-30.2450406,-28.0296727,2.0889208,-1.60807574,4.03160096,-0.807390796,-0.738067109,0.067455621,-0.580624315,-72.14272,AGN,bcu,1956.0415,PowerLaw,1RXS J000135.5-415519,334.070099,AGN,3FGL J0002.2-4152,0.999978419,1.75362311e-05,2.15814009e-05,1.75362311e-05,0.996719414,0.0038746242,0.00328058625,0.0038746242,0.999023735,0.00267052363,0.000976264807,0.00267052363,0.9999791,2.32962427e-05,2.0899704e-05,2.32962427e-05,0.999963262,2.37123261e-05,3.67384807e-05,2.37123261e-05,0.990216667,0.0136228695,0.00978333266,0.0136228695,0.998617116,0.00148138222,0.0013828844,0.00148138222,0.99999392,8.31855504e-06,6.08013712e-06,8.31855504e-06,0,AGN
3FGL J0003.2-5246,-31.5436588,-27.907395,1.8952075,-0.09545067,3.81287508,-0.999748774,0.991051089,-0.397129256,-0.454391092,-62.824707,AGN,bcu,3676.2268,PowerLaw,RBS 0006,318.976135,AGN,3FGL J0003.2-5246,0.999884846,9.66928637e-05,0.000115154364,9.66928637e-05,0.991942254,0.00780688784,0.00805774574,0.00780688784,0.996878631,0.00540164853,0.00312136873,0.00540164853,0.991434846,0.00758172891,0.00856515352,0.00758172891,0.999951343,4.0591733e-05,4.8656646e-05,4.0591733e-05,0.988908804,0.0114085765,0.0110911958,0.0114085765,0.996565308,0.00396617427,0.00343469199,0.00396617427,0.998446451,0.00154269234,0.00155354914,0.00154269234,0,AGN
3FGL J0003.8-1151,-30.7511429,-27.9731584,2.0235214,0.581936251,3.88139154,0.796120394,-0.389624007,-0.664556136,-0.449034661,-71.08423,AGN,bcu,2315.8784,PowerLaw,PMN J0004-1148,84.4318924,AGN,3FGL J0003.8-1151,0.999233773,0.00072190014,0.000766227083,0.00072190014,0.989470974,0.00824432609,0.0105290256,0.00824432609,0.967042278,0.0273107138,0.0329577224,0.0273107138,0.913757279,0.0421602043,0.0862427215,0.0421602043,0.99958775,0.000365215433,0.00041225032,0.000365215433,0.983503987,0.00999122011,0.0164960131,0.00999122011,0.988294128,0.0099103961,0.0117058723,0.0099103961,0.986523957,0.00548512773,0.0134760432,0.00548512773,0,AGN
3FGL J0004.7-4740,-26.8768287,-27.8457427,2.4035163,0.607582212,4.72679167,-0.532141432,-0.698347124,-0.635800504,-0.999992715,-67.51865,AGN,fsrq,722.59973,PowerLaw,PKS 0002-478,323.815582,AGN,3FGL J0004.7-4740,0.999198493,0.00138353518,0.000801506961,0.00138353518,0.986089258,0.00944782607,0.0139107418,0.00944782607,0.951607084,0.029868753,0.0483929156,0.029868753,0.937200666,0.0297641084,0.0627993343,0.0297641084,0.99861441,0.00367430329,0.00138558951,0.00367430329,0.984747991,0.0108858219,0.0152520093,0.0108858219,0.950511138,0.0335967951,0.0494888623,0.0335967951,0.991126013,0.00337061326,0.00887398692,0.00337061326,0,AGN
3FGL J0006.4+3825,-25.8193489,-27.598428,2.6171293,0.823317268,4.38779124,-0.727468421,-0.714511877,-0.884553713,-0.639908862,-23.613312,AGN,fsrq,496.52658,PowerLaw,S4 0003+38,113.331886,AGN,3FGL J0006.4+3825,0.999728643,0.000348999545,0.000271357064,0.000348999545,0.874762019,0.0873928691,0.125237981,0.0873928691,0.980629855,0.0162655947,0.0193701446,0.0162655947,0.810851912,0.073812643,0.189148088,0.073812643,0.999922108,0.000216694279,7.78919519e-05,0.000216694279,0.973788523,0.0126940228,0.026211477,0.0126940228,0.988118473,0.0104042078,0.0118815266,0.0104042078,0.978558079,0.00706604966,0.0214419211,0.00706604966,0,AGN
3FGL J0008.0+4713,-28.1962982,-27.2371429,2.0209966,0.92186807,3.60314383,-0.128631386,-0.519058466,-0.418792941,-0.633187401,-15.002618,AGN,bll,1875.706,PowerLaw,MG4 J000800+4712,115.33255,AGN,3FGL J0008.0+4713,0.834179948,0.164102233,0.165820052,0.164102233,0.5144205,0.154801167,0.4855795,0.154801167,0.849629755,0.0621338871,0.150370245,0.0621338871,0.552432064,0.0675930174,0.447567936,0.0675930174,0.973008372,0.0428947831,0.0269916276,0.0428947831,0.891527679,0.0392017303,0.108472321,0.0392017303,0.958125215,0.0234684314,0.0418747846,0.0234684314,0.868239747,0.0320113305,0.131760253,0.0320113305,0,AGN
3FGL J0008.6-2340,-32.7602046,-27.6848638,1.5989343,-0.1639293,3.857546,0.032599993,0.999570207,-0.739576457,0.416237882,-79.75257,AGN,bll,7424.89,PowerLaw,RBS 0016,50.2801132,AGN,3FGL J0008.6-2340,0.998552059,0.00163437061,0.00144794089,0.00163437061,0.995817754,0.00504815278,0.00418224625,0.00504815278,0.984217656,0.013908044,0.0157823439,0.013908044,0.998433675,0.00350914771,0.0015663253,0.00350914771,0.999344691,0.00116096902,0.000655309467,0.00116096902,0.991014518,0.00888615366,0.00898548201,0.00888615366,0.985159449,0.0125619006,0.0148405505,0.0125619006,0.999770824,0.000232198811,0.000229176034,0.000232198811,0,AGN
3FGL J0009.1+0630,-29.0152069,-27.7109196,2.1793637,-0.996861512,4.11671714,-0.513312783,-0.599315647,-0.541871893,-0.517110066,-54.84626,AGN,bll,1548.9703,PowerLaw,CRATES J000903.95+062821.5,104.489098,AGN,3FGL J0009.1+0630,0.999931983,5.67407079e-05,6.80171494e-05,5.67407079e-05,0.996547103,0.00364489209,0.00345289671,0.00364489209,0.99513486,0.00581628147,0.00486513985,0.00581628147,0.999374614,0.000480298443,0.000625385708,0.000480298443,0.999946145,3.71645419e-05,5.38549476e-05,3.71645419e-05,0.991209151,0.0110846877,0.00879084879,0.0110846877,0.995823003,0.00664860531,0.00417699719,0.00664860531,0.999901099,9.1106688e-05,9.89005757e-05,9.1106688e-05,0,AGN
3FGL J0009.3+5030,-27.5358079,-26.9785278,1.9286355,0.759633273,4.59952367,-0.531442468,-0.471129138,-0.403181438,-0.563149301,-11.803292,AGN,bll,1656.9579,PowerLaw,NVSS J000922+503028,116.116417,AGN,3FGL J0009.3+5030,0.999660187,0.000289601352,0.000339813275,0.000289601352,0.955509742,0.0300029318,0.0444902584,0.0300029318,0.989500983,0.0108467635,0.010499017,0.0108467635,0.974432442,0.0116004947,0.0255675575,0.0116004947,0.999806463,0.000161379755,0.000193536891,0.000161379755,0.97278268,0.0147096619,0.0272173195,0.0147096619,0.992232179,0.009304619,0.007767821,0.009304619,0.991556278,0.00296548074,0.00844372162,0.00296548074,0,AGN
