Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags
3FGL J0001.0+6314,117.2930908203125,0.9257011413574219,-25.06388057366717,-26.996604993524276,-1.360942325754102,3.971194509710279,2.732785940170288,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,28
3FGL J0001.2-0748,89.02220153808594,-67.32424926757812,-25.574629884237865,-27.686984908335887,0.6419789728126855,3.90677350257576,2.149348258972168,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,0
3FGL J0001.4+2120,107.6654281616211,-40.047157287597656,-25.54347707292238,-27.807881441357374,1.4846860300648468,4.87011829582341,2.799172658858443,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,0
3FGL J0002.2-4152,334.0700988769531,-72.1427230834961,-26.526337623882803,-28.029672703706314,-1.6080757419882903,4.031600965159877,2.088920831680298,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,0
3FGL J0003.2-5246,318.97613525390625,-62.82470703125,-26.53002520081035,-27.907395030137014,-0.09545066589884078,3.812875095276755,1.8952075242996216,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,0
3FGL J0003.8-1151,84.43189239501953,-71.084228515625,-26.67389431808266,-27.973158380294528,0.5819362501580878,3.88139153182789,2.0235214233398438,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,0
3FGL J0004.7-4740,323.8155822753906,-67.51864624023438,-25.413302189832038,-27.84574272676745,0.607582196233669,4.726791670559944,2.4035162925720215,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,0
3FGL J0006.4+3825,113.3318862915039,-23.613311767578125,-25.290752442077466,-27.598428018704073,0.8233172782629792,4.387791256342585,2.617129325866699,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,0
3FGL J0007.0+7302,119.66210174560547,10.460556983947754,-21.577666684262105,-26.281765178832583,3.120187876508757,3.832299956436161,1.5566727965162144,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,0
3FGL J0008.0+4713,115.33255004882812,-15.002617835998535,-24.54452049649656,-27.2371429638311,0.9218680679753957,3.6031438341006123,2.020996570587158,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,0
3FGL J0008.6-2340,50.280113220214844,-79.75257110595703,-26.387356906784454,-27.684863755864836,-0.16392929997160774,3.8575460017221874,1.598934292793274,0.032599993,0.999570207,-0.739576457,0.416237882,AGN,bll,0
3FGL J0009.1+0630,104.48909759521484,-54.84626007080078,-25.800963095690793,-27.71091958490174,-0.996861512193448,4.116717134544777,2.17936372756958,-0.513312783,-0.599315647,-0.541871893,-0.517110066,AGN,bll,0
3FGL J0009.3+5030,116.11641693115234,-11.803292274475098,-24.06571279100253,-26.978527797297804,0.7596332632820182,4.5995237051188935,1.9286354780197144,-0.531442468,-0.471129138,-0.403181438,-0.563149301,AGN,bll,0
3FGL J0009.6-3211,1.2516652345657349,-79.60184478759766,-26.41311203039029,-28.024800369420838,0.02707590994001457,3.7502933618174916,2.309729814529419,-0.596740735,-0.623579577,-0.703260285,-0.637021066,AGN,bcu,1
3FGL J0012.4+7040,119.68739318847656,8.046483039855957,-25.791513338139378,-27.29591217415154,-1.5660769342372887,3.9430543072312942,2.4837498664855957,-0.59534088,-0.869545042,-0.568573316,-0.441835598,AGN,bcu,8
3FGL J0013.2-3954,332.32379150390625,-74.96217346191406,-25.687311346528215,-27.858863594383454,-1.8850229366416158,4.011471395021256,2.2117834091186523,-0.564600305,-0.626851708,-0.586269932,-0.350811907,AGN,bll,0
3FGL J0013.9-1853,74.62692260742188,-78.07839965820312,-26.635993090817472,-27.99473259202401,0.4864007164234704,3.59618299537908,1.9351506233215332,0.99911541,0.342174432,-0.420619201,-0.836871206,AGN,bll,0
3FGL J0014.0-5025,317.45111083984375,-65.63306427001953,-26.601489279136576,-28.008552302158446,0.371497980951875,3.8368129999140135,1.923877239227295,-0.739192463,-0.278573801,-0.630847604,-0.448877519,AGN,bll,0
3FGL J0014.6+6119,118.53034210205078,-1.2385841608047485,-25.575163577300454,-27.319719820875655,0.8888615601925101,3.927609370077782,1.887485384941101,0.955237768,-0.084374271,-0.277528749,-0.458452091,AGN,bcu,0
3FGL J0014.7+5802,118.07527923583984,-4.48273229598999,-26.181630839707587,-27.57167373827709,-0.3954288947808952,3.676555596392872,1.9128166437149048,0.923888966,0.82992441,-0.538831261,-0.539200917,AGN,bll,0
3FGL J0015.7+5552,117.90898132324219,-6.648677349090576,-26.028765278448358,-27.565053334384015,0.042450497196413264,3.6289260473452027,2.114528179168701,-0.612040553,-0.708852423,-0.58331449,-0.588342847,AGN,bcu,0
3FGL J0016.3-0013,104.07860565185547,-61.80875778198242,-25.23289897891606,-27.712184607951606,1.2271659779268536,5.030950405577961,2.617854595184326,-0.616784239,-0.795090013,-0.908771878,-0.355854503,AGN,fsrq,0
3FGL J0017.2-0643,99.66854095458984,-68.03634643554688,-26.165380284522534,-27.809167879121993,-0.0533356895672501,3.6213918458519982,2.1161961555480957,0.031875911,-0.167553473,-0.69133399,-0.771387465,AGN,bcu,0
