Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags_3FGL,Missing_Values_Flag,AGN_BDT_S,AGN_BDT_STD_S,PSR_BDT_S,PSR_BDT_STD_S,OTHER_BDT_S,OTHER_BDT_STD_S,AGN_NN_S,AGN_NN_STD_S,PSR_NN_S,PSR_NN_STD_S,OTHER_NN_S,OTHER_NN_STD_S,AGN_RF_S,AGN_RF_STD_S,PSR_RF_S,PSR_RF_STD_S,OTHER_RF_S,OTHER_RF_STD_S,AGN_LR_S,AGN_LR_STD_S,PSR_LR_S,PSR_LR_STD_S,OTHER_LR_S,OTHER_LR_STD_S
3FGL J0001.0+6314,117.293091,0.925701141,-25.0638806,-26.996605,-1.36094233,3.97119451,2.73278594,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,28,0,0.7695396582946595,0.19010919382565417,0.02163665137667094,0.024183211156473906,0.2088236903286695,0.18848580898113665,0.2276506527725091,0.3137596517206223,0.03252744808398673,0.05457936804434688,0.7398218991435042,0.31573611927004264,0.6207437678822146,0.09123435256330206,0.12039577442952683,0.04036702586759681,0.2588604576882585,0.08314171665164052,0.880256913592925,0.06758680222373732,0.0011508847643645504,0.0016017630271040221,0.11859220164271049,0.06753140610750173
3FGL J0001.2-0748,89.0222015,-67.3242493,-25.5746299,-27.6869849,0.641978973,3.9067735,2.14934826,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,0,0,0.8180743830883733,0.12859195643118218,0.11245153992153722,0.09421316193612798,0.06947407699008937,0.062210382552776416,0.8729925726795601,0.10786020337209026,0.04396802575889277,0.05072766750251517,0.08303940156154727,0.07538231042499333,0.7181657122016407,0.06925242999096726,0.19660225593381675,0.05914138040799592,0.08523203186454252,0.034098162466593036,0.7722094291715947,0.06525460139564572,0.04407048808396155,0.027720357459688837,0.18372008274444374,0.06154727353825198
3FGL J0001.4+2120,107.665428,-40.0471573,-25.5434771,-27.8078814,1.48468603,4.8701183,2.79917266,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,0,0,0.9985747637953879,0.0023771937321924457,5.88049445665255E-4,0.0013416985401882213,8.371867589468235E-4,0.0012885867515857324,0.9896686065406591,0.013706400826070705,0.0012182061648240317,0.003806187701046046,0.009113187294516607,0.011228296789394044,0.9075840008780426,0.043341519033296895,0.04452450444199154,0.028260174294363522,0.04789149467996578,0.028813585327975778,0.9852842321688853,0.020131999702805402,0.002375942449310485,0.006499193396742746,0.012339825381804233,0.01876013516449544
3FGL J0002.2-4152,334.070099,-72.1427231,-26.5263376,-28.0296727,-1.60807574,4.03160097,2.08892083,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,0,0,0.9996294076845843,0.0014812387253890147,1.1956952569274889E-4,0.0014342369425692889,2.510227897229119E-4,2.963447228792343E-4,0.9944794795564349,0.00627013242521879,5.864895496486774E-4,9.623618568316956E-4,0.004934030893916594,0.005751603921270958,0.98133571246959,0.007945980941483771,0.00443739658392653,0.002246398903873564,0.014226890946483535,0.007239174949288209,0.996753179328219,0.002707355850568019,1.6681470456317608E-6,4.502699490851529E-6,0.0032451525247352815,0.0027062700472513506
3FGL J0003.2-5246,318.976135,-62.824707,-26.5300252,-27.907395,-0.0954506659,3.8128751,1.89520752,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,0,0,0.9991844869635144,6.697090471520834E-4,9.611879683247226E-5,9.125167583292108E-5,7.193942396533283E-4,6.401609898984494E-4,0.9884439739826679,0.02213422547634777,0.0024630292583095927,0.016383100500725098,0.009092996759022254,0.01128062020736728,0.9768615831917712,0.008158333435511908,0.007008864058218802,0.003440197970518179,0.016129552750009896,0.006594153777888974,0.9855293218680595,0.011614898865168205,0.003743070445105696,0.003935211563341554,0.010727607686834941,0.010582992139900306
3FGL J0003.8-1151,84.4318924,-71.0842285,-26.6738943,-27.9731584,0.58193625,3.88139153,2.02352142,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,0,0,0.9963448903381565,0.0038398197425871116,0.0019847381048414886,0.0030183643325236787,0.001670371557002125,0.0018802941682425616,0.9863012397302074,0.013015747765592127,0.0017960424052337535,0.0021909611921249717,0.011902717864558791,0.012128879010436305,0.9503110166152097,0.019748277996686384,0.022728543627613933,0.013503573385420669,0.026960439757176206,0.010669527441289553,0.9317365975696807,0.04169355247714599,0.009467371140233088,0.010562453234488272,0.05879603129008627,0.03905004215394956
3FGL J0004.7-4740,323.815582,-67.5186462,-25.4133022,-27.8457427,0.607582196,4.72679167,2.40351629,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,0,0,0.9972174194886263,0.003048857502038505,0.0010573806242486852,0.0013852323481741123,0.0017251998871250756,0.002437579326729876,0.9745793387528816,0.02492219920457109,0.0046169516684359665,0.007721022854693462,0.020803709578682442,0.020483451473401207,0.9454582049737209,0.022505792522210504,0.029638313919245696,0.01706146987098945,0.024903481107033453,0.013541840928976746,0.9445296779137063,0.03614067383904817,0.009616893325104547,0.008338062769925032,0.04585342876118916,0.032495841658998895
3FGL J0006.4+3825,113.331886,-23.6133118,-25.2907524,-27.598428,0.823317278,4.38779126,2.61712933,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,0,0,0.9986535042120113,0.0013958332408408115,8.624046137051961E-4,0.0010244870182291013,4.8409117428345244E-4,7.478932340925266E-4,0.9706776309800816,0.03538985712400051,0.007113023488779246,0.01059346009326112,0.022209345531139093,0.029073195628935046,0.9656534147282241,0.015149219185759228,0.012635505313915869,0.008620400727553419,0.02171107995786005,0.010787606934978076,0.9117907326602662,0.04651559997758948,0.02339195934465082,0.020487068961924593,0.06481730799508295,0.041974711929581285
3FGL J0007.0+7302,119.662102,10.460557,-21.5776667,-26.2817652,3.12018788,3.83229996,1.5566728,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,0,0,0.0019158308566985778,0.003775864037625298,0.9189608213044863,0.11057025628624391,0.07912334783881515,0.10963267406248729,8.193299892501968E-4,0.008402471573750092,0.9668762295721317,0.05591295668448269,0.03230444043861794,0.052988221079274714,0.07667062508531985,0.04133665187886767,0.6323979859447737,0.11624704916034397,0.29093138896990645,0.10203781616600115,1.7675358488702697E-4,2.492129615473464E-4,0.9783846279701122,0.01804257310137902,0.021438618445000824,0.017947380433828646
3FGL J0008.0+4713,115.33255,-15.0026178,-24.5445205,-27.237143,0.921868068,3.60314383,2.02099657,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,0,0,0.7809219805951875,0.13345458254524997,0.07675831960715479,0.06952746514276965,0.14231969979765777,0.10743183261111533,0.3644433658342369,0.2187087475782906,0.43144899102523443,0.20452935097894373,0.20410764314052857,0.13044947925433564,0.7977272416134029,0.05478188618320451,0.07415026318937676,0.030375412618869214,0.12812249519722038,0.041135971262217734,0.3228149287024959,0.09380782063198027,0.23528779630355764,0.11554748075248139,0.44189727499394643,0.10711791041829885
