Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,Flags_3FGL,AGN_BDT_O,AGN_BDT_STD_O,PSR_BDT_O,PSR_BDT_STD_O,OTHER_BDT_O,OTHER_BDT_STD_O,AGN_NN_O,AGN_NN_STD_O,PSR_NN_O,PSR_NN_STD_O,OTHER_NN_O,OTHER_NN_STD_O,AGN_RF_O,AGN_RF_STD_O,PSR_RF_O,PSR_RF_STD_O,OTHER_RF_O,OTHER_RF_STD_O,AGN_LR_O,AGN_LR_STD_O,PSR_LR_O,PSR_LR_STD_O,OTHER_LR_O,OTHER_LR_STD_O,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,Missing_val_flag
3FGL J0001.0+6314,117.2930908203125,0.9257011413574219,-25.06388057366717,-26.996604993524276,-1.360942325754102,3.971194509710279,2.732785940170288,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,28,0.8372295433104243,0.13414878184237183,0.02409787310934568,0.02487578405090967,0.13867258358023007,0.13090902319608533,0.34756148201097353,0.35519433119607685,0.05045560124661618,0.05320987445185101,0.6019829167424103,0.34498644710119325,0.6461762462001095,0.08793336322751494,0.12875952040626074,0.04294642129091704,0.22506423339362977,0.07286390506493862,0.8660652335140095,0.07138805734909782,0.003577810832600942,0.0048689305722132885,0.1303569556533895,0.07042930706869843,0.9326141519818107,0.07420990281975763,0.013305059260861321,0.012056050709625791,0.05408078875732786,0.07127653404732189,0.4659178928339185,0.40375423210340244,0.057402885297496785,0.05721995484805101,0.4766792218685848,0.3718837639934124,0.7983679921714713,0.05945195026362435,0.08958681547751574,0.03317079610786637,0.11204519235101312,0.045346763119192786,0.9524439333365655,0.021422897762757874,8.312738514079817E-4,6.937709196018758E-4,0.046724792812026524,0.021294155432391996,0
3FGL J0001.2-0748,89.02220153808594,-67.32424926757812,-25.574629884237865,-27.686984908335887,0.6419789728126855,3.90677350257576,2.149348258972168,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,0,0.940970158814426,0.05150885385604144,0.05121046213878918,0.0492534883804242,0.00781937904678489,0.005893200119889457,0.8432408791405697,0.11350707822678048,0.06683166633112218,0.0672919604548424,0.0899274545283081,0.06704199196590589,0.760203190141581,0.06275254074594981,0.1856759361754917,0.05487384570985628,0.05412087368292742,0.021324953389066925,0.7592300019791737,0.06260871131703415,0.07014716868857418,0.037332380603318414,0.1706228293322522,0.05190379222755397,0.9704660609668715,0.028856080238734365,0.024628787501642033,0.027245361799695465,0.004905151531486414,0.0032917173255052026,0.9246821460509811,0.054758245740206664,0.03795794368571371,0.034637896687616056,0.03735991026330514,0.025559967065260352,0.8355624246682458,0.051823043540930744,0.13028973081969725,0.045950921623494685,0.03414784451205698,0.016229560197740238,0.9076448762235124,0.023906685245025983,0.04306146216332513,0.013460716085147557,0.04929366161316242,0.017819127257216568,0
3FGL J0001.4+2120,107.6654281616211,-40.047157287597656,-25.54347707292238,-27.807881441357374,1.4846860300648468,4.87011829582341,2.799172658858443,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,0,0.998519175888078,0.0016723145442530476,3.638206407013632E-4,4.197272236316698E-4,0.0011170034712206804,0.001424232416854532,0.983716505347538,0.020775065283554627,0.0033721370925645644,0.008341517674222886,0.012911357559897411,0.013877599127645097,0.9179407763145764,0.03472292764035809,0.03614545389348247,0.02265899807782533,0.04591376979194126,0.025398527344155018,0.982780587408924,0.021495253484697215,0.003919619773988518,0.009469230276929544,0.013299792817087425,0.01828617938232456,0.9993590571009626,8.132977119310437E-4,2.000176442921785E-4,3.319161936733113E-4,4.4092525474533756E-4,5.77848818432018E-4,0.9953397006780983,0.003446502670591662,0.001123123125538499,0.0010458170665389869,0.003537176196363322,0.002763508428125202,0.9521697436876001,0.02281570982111629,0.02393987913450973,0.015066217730855152,0.023890377177890207,0.015500979078256276,0.9974558909251099,0.004755627418525609,0.0010744252077084,0.0029395042040102157,0.001469683867181824,0.0025134051994009396,0
3FGL J0002.2-4152,334.0700988769531,-72.1427230834961,-26.526337623882803,-28.029672703706314,-1.6080757419882903,4.031600965159877,2.088920831680298,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,0,0.9996399971450659,2.2395371020260375E-4,3.79935247996997E-5,3.356155426279732E-5,3.2200933013436646E-4,2.081165508762442E-4,0.9891441653381423,0.009477638390617429,0.0021984952264713408,0.002620594879567552,0.008657339435386295,0.007934429440575696,0.9735376489230431,0.009131759654193371,0.007263012701109719,0.0028948343199006418,0.019199338375847155,0.00797234871668659,0.9954077059149525,0.0038985358936463703,1.0596634330459729E-5,2.8346982474814963E-5,0.00458169745071698,0.003891389494429302,0.9997362877314699,1.842295440302542E-4,3.7691650423510606E-5,2.175994401502643E-5,2.2602061810648598E-4,1.7475470717479697E-4,0.9962909597541382,0.003166613802925915,9.409287244705911E-4,9.906060954547235E-4,0.0027681115213912763,0.002393331433813085,0.9880744436254271,0.0036238492559963124,0.004182957739158316,0.0013177363698987025,0.007742598635414503,0.0031253790676179704,0.9993118597663505,4.192295898662118E-4,5.067108356630962E-6,5.638131142587893E-6,6.830731252929934E-4,4.170092695437096E-4,0
3FGL J0003.2-5246,318.97613525390625,-62.82470703125,-26.53002520081035,-27.907395030137014,-0.09545066589884078,3.812875095276755,1.8952075242996216,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,0,0.9989325360183338,7.423448705652321E-4,1.1358952032098092E-4,9.930815559684097E-5,9.538744613451778E-4,6.991642541703462E-4,0.9823642823972961,0.01639556341707603,0.003821603157251033,0.006117006563106455,0.01381411444545283,0.013025720431325384,0.9708582712866868,0.009134386238853775,0.009581383965260122,0.003977228397319187,0.01956034474805296,0.007546061807127344,0.9744967322334425,0.018621737082802226,0.007258787366612709,0.00605510485944788,0.01824448039994481,0.017102105435785265,0.9993825622595761,3.8513745940951696E-4,7.394861158048147E-5,4.747455072730962E-5,5.434891288433752E-4,3.580848335294659E-4,0.9945727231170552,0.005213306141785338,0.0013268341377799865,0.0016385392201173435,0.0041004427451649455,0.004038249384157142,0.985440204891185,0.004796447035785723,0.005717915977603685,0.002922766349251446,0.008841879131211363,0.00344478332216386,0.9943688515282868,0.003554645141808962,0.0018211404287206856,0.0011022047150984968,0.0038100080429924574,0.0030683676581477956,0
3FGL J0003.8-1151,84.43189239501953,-71.084228515625,-26.67389431808266,-27.973158380294528,0.5819362501580878,3.88139153182789,2.0235214233398438,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,0,0.9985457319083298,0.0010598783213128038,6.631978414962042E-4,6.48134037291002E-4,7.910702501739512E-4,7.165929662082732E-4,0.9800692098228734,0.019391843676414795,0.004260816530948924,0.006995248253768613,0.01566997364617758,0.015186067375557654,0.9595027644049056,0.014379232804568341,0.01889226443396968,0.009372951414557682,0.02160497116112472,0.008070514594690142,0.9088526919554971,0.049819358562131516,0.01646365610936389,0.016461341731794595,0.07468365193513885,0.045574269456100304,0.9992925619469538,5.342015274048203E-4,2.8584575937349503E-4,2.880435681489238E-4,4.2159229367265985E-4,3.305099530982123E-4,0.9937959609785263,0.005218722416506475,0.0016341902378651486,0.0016981821129258827,0.004569848783608555,0.004032420465574236,0.9803176975650838,0.00719050911534413,0.010700537220595255,0.005760797338329335,0.008981765214320899,0.0033727609346195964,0.9783270168035544,0.013191302881713657,0.006565155303728679,0.004513147327993047,0.015107827892716807,0.01080996662294544,0
3FGL J0004.7-4740,323.8155822753906,-67.51864624023438,-25.413302189832038,-27.84574272676745,0.607582196233669,4.726791670559944,2.4035162925720215,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,0,0.9914001047775026,0.008864383242003901,0.004029224223493882,0.005838060741546505,0.004570670999003476,0.005700790418990893,0.9618878375862808,0.030533080485071314,0.00961532874862718,0.01004076339298508,0.02849683366509182,0.02411511236824928,0.9226157353386988,0.030562331430864082,0.04356267949002667,0.02239710052886802,0.03382158517127439,0.02027925053441402,0.9307790115853642,0.03904278700006788,0.019119126433058183,0.014623318151613225,0.05010186198157756,0.03155660793549209,0.993947368109786,0.007047000269950688,0.003462799999729596,0.0052127838991004125,0.0025898318904844565,0.003228642579052409,0.9853067984382967,0.010812267518640709,0.00513500702525706,0.004748457078241352,0.009558194536446367,0.007155022627374027,0.9341285496349149,0.03428633777595051,0.03750688255760948,0.02315699383584325,0.028364567807475545,0.02108120882856799,0.9847299189226466,0.00910181166529127,0.006110985338311965,0.0039649584300990495,0.009159095739041475,0.00746115112380167,0
3FGL J0006.4+3825,113.3318862915039,-23.613311767578125,-25.290752442077466,-27.598428018704073,0.8233172782629792,4.387791256342585,2.617129325866699,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,0,0.9988439152271537,9.284974501412215E-4,6.813832006843869E-4,7.330218697704326E-4,4.7470157216198484E-4,4.0237743666328386E-4,0.9516708317525049,0.06140804591969853,0.012444823629174623,0.01750850784886746,0.035884344618320456,0.052798630735968535,0.959596337005267,0.016620543099389793,0.017394292304524196,0.011197623307195292,0.023009370690208645,0.011287549089261393,0.8916484134239702,0.04669798663820918,0.036114730786479185,0.025831047038035633,0.07223685578955065,0.03879032793864824,0.9993271219258275,6.04954999771632E-4,3.942397521934541E-4,4.6802420823363394E-4,2.786383219791487E-4,2.467400175418424E-4,0.9857153349879434,0.017537645863766566,0.004211776542925789,0.004746582766132527,0.010072888469130776,0.014288911379784318,0.9794367700203479,0.010076954335691841,0.010208785039849903,0.008183780940954578,0.010354444939802098,0.005743690914531842,0.9744089360887133,0.01254885124831183,0.011749087780601498,0.004787131473347053,0.013841976130685222,0.01029481355978924,0
3FGL J0007.0+7302,119.66210174560547,10.460556983947754,-21.577666684262105,-26.281765178832583,3.120187876508757,3.832299956436161,1.5566727965162144,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,0,0.0020522580890275244,0.003187789796679851,0.9433195204719662,0.0873532946145122,0.054628221439006315,0.08635627508997419,8.286828089360683E-4,0.0031272869364809435,0.9524080132089814,0.04447318220559554,0.04676330398208254,0.04446157959045651,0.05765423618655827,0.0446717326953678,0.7219583885843435,0.1146937437278889,0.22038737522909818,0.09439803880971784,5.527018164678356E-4,0.00103047858157996,0.9598542912036874,0.029818133015434484,0.039593006979844816,0.02949374014923796,0.0011822799143893367,0.0021166866060719066,0.9301190415336199,0.1102869587553731,0.0686986785519908,0.10970681033168683,0.0018595133480544968,0.006636816247387209,0.9427633734390093,0.0523104431141271,0.0553771132129364,0.050410988333323636,0.08350041615403382,0.042143913227166055,0.6553211407921912,0.08685790678466604,0.261178443053775,0.07930604911084799,6.817692157195166E-4,5.25498551861395E-4,0.966340693879964,0.01672927418876035,0.032977536904316436,0.016558394731717756,0
3FGL J0008.0+4713,115.33255004882812,-15.002617835998535,-24.54452049649656,-27.2371429638311,0.9218680679753957,3.6031438341006123,2.020996570587158,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,0,0.8825713865586846,0.079921138079703,0.039765249477510194,0.032402408554444886,0.07766336396380522,0.06222839464278773,0.42977527820069855,0.23689159843663243,0.3619350543601539,0.19786366942211067,0.2082896674391476,0.14408652688765916,0.8248096335170991,0.049576095760426195,0.07074680006339944,0.026590808594436948,0.10444356641950131,0.03643762737012378,0.3400397208833556,0.08854084717232741,0.255472689781114,0.10324342312230397,0.4044875893355304,0.10194013734253232,0.9318240049102116,0.04615120634042512,0.027234068377984373,0.02428339731793415,0.040941926711804154,0.030185191853330223,0.6859226583260751,0.21283689180383178,0.19349610210556029,0.13598639310615945,0.12058123956836457,0.1130692746485522,0.9170807066004952,0.029957662866109305,0.039197829420938496,0.017986076496351106,0.043721463978566306,0.01898827263823873,0.5779929696871928,0.060629101296799694,0.21042400827341562,0.04568222768229284,0.2115830220393915,0.04869565128685113,0
