Source_Name_3FGL,GLON,GLAT,ln(Energy_Flux100),ln(Unc_Energy_Flux100),ln(Signif_Curve),ln(Variability_Index),500MeV_Index,HR12,HR23,HR34,HR45,Category_3FGL,CLASS_3FGL,AGN_BDT,AGN_BDT_STD,PSR_BDT,PSR_BDT_STD,OTHER_BDT,OTHER_BDT_STD,AGN_NN,AGN_NN_STD,PSR_NN,PSR_NN_STD,OTHER_NN,OTHER_NN_STD,AGN_RF,AGN_RF_STD,PSR_RF,PSR_RF_STD,OTHER_RF,OTHER_RF_STD,AGN_LR,AGN_LR_STD,PSR_LR,PSR_LR_STD,OTHER_LR,OTHER_LR_STD,Flags
3FGL J0001.0+6314,117.2930908203125,0.9257011413574219,-25.06388057366717,-26.996604993524276,-1.360942325754102,3.971194509710279,2.732785940170288,-0.7246513,-0.8780153,-0.44555563,-0.9656969,OTHER,spp,0.9564136727627797,0.04651409689507986,0.012100190391387843,0.01127831987346892,0.03148613684583233,0.041895819285184634,0.9115127389102237,0.13393892187527467,0.01343711144686513,0.03254344628729216,0.07505014964291104,0.12068282455053886,0.8126389201706212,0.05718726981842791,0.08913750253468364,0.033281763710289826,0.09822357729469497,0.0403282886138454,0.994436828859836,0.002668446997846605,9.546291803959872E-5,6.048749941343834E-5,0.005467708222124494,0.0026403280052102723,28
3FGL J0001.2-0748,89.02220153808594,-67.32424926757812,-25.574629884237865,-27.686984908335887,0.6419789728126855,3.90677350257576,2.149348258972168,-0.324667683,-0.599118156,-0.425146785,-0.908887539,AGN,bll,0.9748654486731007,0.021849964748927555,0.020434320738458214,0.020149814557798584,0.004700230588441182,0.0032481183000718367,0.9161848141333951,0.09010512446379117,0.045263934642960614,0.06788794262695849,0.03855125122364429,0.03326155879176283,0.8358141307719767,0.052785130339533304,0.1331821726074999,0.047979748082542455,0.031003696620523276,0.014711853303251242,0.8457208476939373,0.020102600102495125,0.046677542688518245,0.010834116982689594,0.10760160961754438,0.017006088339627204,0
3FGL J0001.4+2120,107.6654281616211,-40.047157287597656,-25.54347707292238,-27.807881441357374,1.4846860300648468,4.87011829582341,2.799172658858443,-0.614417901,-0.821568611,-0.999952801,0.103439906,AGN,fsrq,0.9987749271818301,0.005727820833867858,2.7716199916998985E-4,7.141886588699399E-4,9.479108189999277E-4,0.005526064682128345,0.9750493240011341,0.04028473262056984,0.008836278910108472,0.023980077293824887,0.016114397088757556,0.01878887699164557,0.951177069796466,0.023437554498835576,0.026037544000835598,0.01603269585387089,0.02278538620269818,0.014925284501323256,0.9365584566116808,0.024527750820015317,0.009281059216723545,0.005973762303416026,0.05416048417159565,0.019937166117106577,0
3FGL J0002.2-4152,334.0700988769531,-72.1427230834961,-26.526337623882803,-28.029672703706314,-1.6080757419882903,4.031600965159877,2.088920831680298,-0.807390796,-0.738067109,0.067455621,-0.580624315,AGN,bcu,0.9996863766267636,1.6871745040466683E-4,5.3620821243773186E-5,4.022342426727618E-5,2.60002551992667E-4,1.5900301500244908E-4,0.9768681367107143,0.03674229954839347,0.006923224145333309,0.021530175105777802,0.016208639143952538,0.0182821599672931,0.9844894964581715,0.006305757221790574,0.005527454304143284,0.002433558963273748,0.009983049237684996,0.005306967882993005,0.9990216605151381,5.012385753796677E-4,5.11410314095662E-6,4.462956890311454E-6,9.732253817210817E-4,4.993929895046207E-4,0
3FGL J0003.2-5246,318.97613525390625,-62.82470703125,-26.53002520081035,-27.907395030137014,-0.09545066589884078,3.812875095276755,1.8952075242996216,-0.999748774,0.991051089,-0.397129256,-0.454391092,AGN,bcu,0.9992912974640804,4.371813918781083E-4,1.3181983244637608E-4,9.546656414938114E-5,5.768827034730126E-4,3.993618436944283E-4,0.9756697229676634,0.03936855630727039,0.008085408079100317,0.023588704788417965,0.0162448689532363,0.01867380534969778,0.9841661335041801,0.004433650972396408,0.006402374281851478,0.002662859270915453,0.00943149221396829,0.0030405022706536736,0.9923117568200187,0.0037168502206922777,0.0019820622413328015,0.0010160199125359532,0.005706180938648566,0.0030914514156330174,0
3FGL J0003.8-1151,84.43189239501953,-71.084228515625,-26.67389431808266,-27.973158380294528,0.5819362501580878,3.88139153182789,2.0235214233398438,0.796120394,-0.389624007,-0.664556136,-0.449034661,AGN,bcu,0.9994166313702516,4.0150661166508034E-4,2.325425240602489E-4,2.1281159524333247E-4,3.508261056880038E-4,2.4005464590744625E-4,0.9683190047971469,0.04199768127219199,0.012652616235508153,0.025380657676150217,0.019028378967344835,0.022310776441254253,0.9817649116904098,0.006567833399987449,0.009737334827652096,0.00525989574330112,0.008497753481937941,0.003079237343318124,0.9238395265618177,0.018535838559711134,0.014214913960360646,0.0047632058033786825,0.06194555947782161,0.016216054763749554,0
3FGL J0004.7-4740,323.8155822753906,-67.51864624023438,-25.413302189832038,-27.84574272676745,0.607582196233669,4.726791670559944,2.4035162925720215,-0.532141432,-0.698347124,-0.635800504,-0.999992715,AGN,fsrq,0.988554102884015,0.02555885941474156,0.006439235437621863,0.012640088558023375,0.005006661678363092,0.01838254016634156,0.9663793384470212,0.03756942511634627,0.010372820687237902,0.02259888589399298,0.023247840865741,0.020598605184973726,0.9271294436435329,0.03405765942881286,0.042990168160639025,0.024048831003737108,0.02988038819582806,0.021702938212229673,0.9192617150579709,0.013596852970623938,0.00583426889543651,0.002299611549285664,0.07490401604659262,0.012964599287684472,0
3FGL J0006.4+3825,113.3318862915039,-23.613311767578125,-25.290752442077466,-27.598428018704073,0.8233172782629792,4.387791256342585,2.617129325866699,-0.727468421,-0.714511877,-0.884553713,-0.639908862,AGN,fsrq,0.9994411411225347,4.6301317478276294E-4,2.8571178892203714E-4,3.4526878365145983E-4,2.7314708854313496E-4,2.032691503448589E-4,0.9659419932408123,0.03838336054815512,0.010824059727250868,0.0217012364192695,0.02323394703193701,0.02258050943455491,0.9796290502754241,0.010060460484006679,0.009740957836919754,0.007615351427548383,0.010629991887656095,0.006300554018665252,0.8981480740476687,0.01646898649256335,0.02162341209890404,0.005768473929957743,0.08022851385342712,0.014560814275893022,0
3FGL J0007.0+7302,119.66210174560547,10.460556983947754,-21.577666684262105,-26.281765178832583,3.120187876508757,3.832299956436161,1.5566727965162144,-0.198218614,-0.39802603,-0.517464686,-0.827138516,PSR,PSR,0.0019243806741280052,0.003545682717577307,0.8835404122402086,0.16822244371060438,0.1145352070856633,0.1673436462949061,0.05354177346562584,0.1640190957896353,0.8540320582414154,0.1792939644643961,0.09242616829295885,0.09254240733880809,0.08654856069766238,0.03929147014575046,0.6582846299862419,0.08306919575494161,0.25516680931609564,0.07364437471430967,7.734024033271119E-4,4.7994219815503656E-4,0.9339551094227313,0.026247621116691797,0.06527148817394167,0.026102628733591475,0
3FGL J0008.0+4713,115.33255004882812,-15.002617835998535,-24.54452049649656,-27.2371429638311,0.9218680679753957,3.6031438341006123,2.020996570587158,-0.128631386,-0.519058466,-0.418792941,-0.633187401,AGN,bll,0.9403480982967898,0.041729144203105355,0.021885822394073808,0.018272212468665228,0.03776607930913637,0.029019836859932938,0.6032423924061776,0.2202916059651488,0.21464282605412519,0.12993714580108007,0.18211478153969715,0.12442672785907626,0.9213113487196211,0.02966221010512937,0.038063552408363156,0.01793634474201326,0.04062509887201573,0.01846123257637237,0.528150477563008,0.044401261427610195,0.21265603817507503,0.02756521901577218,0.25919348426191696,0.03643841424302269,0
3FGL J0008.6-2340,50.280113220214844,-79.75257110595703,-26.387356906784454,-27.684863755864836,-0.16392929997160774,3.8575460017221874,1.598934292793274,0.032599993,0.999570207,-0.739576457,0.416237882,AGN,bll,0.9987599873375506,0.0013568312935022407,2.9648990022096883E-4,3.375070605005804E-4,9.435227622285873E-4,0.0012168540678207684,0.9874183701716998,0.026123798114371443,0.004469188859925692,0.014518534065350605,0.008112440968374742,0.013830465831374822,0.9696149094007663,0.015330274300770592,0.01588034812513931,0.010796476118262989,0.014504742474094232,0.010297345214372975,0.996854284960395,0.001675912120242914,2.4544405742437915E-4,1.4534846118125598E-4,0.002900270982180594,0.0016049287192630515,0
3FGL J0009.1+0630,104.48909759521484,-54.84626007080078,-25.800963095690793,-27.71091958490174,-0.996861512193448,4.116717134544777,2.17936372756958,-0.513312783,-0.599315647,-0.541871893,-0.517110066,AGN,bll,0.998984264926952,7.222610629523214E-4,1.4056347901465665E-4,8.750798021286147E-5,8.751715940333956E-4,6.714508303121712E-4,0.9785782803775203,0.03663874464189843,0.008252300533589845,0.023688675971070647,0.01316941908888988,0.01652807569475478,0.9869868361703125,0.00601890046683549,0.005984391658355369,0.005595308687001846,0.007028772171332322,0.0021303537088869957,0.9954410555992516,0.0017623829438260595,5.99849834218287E-5,3.937892833032563E-5,0.004498959417326629,0.001748385082476702,0
3FGL J0009.3+5030,116.11641693115234,-11.803292274475098,-24.06571279100253,-26.978527797297804,0.7596332632820182,4.5995237051188935,1.9286354780197144,-0.531442468,-0.471129138,-0.403181438,-0.563149301,AGN,bll,0.9994150678698102,4.722535123189883E-4,8.414058680203364E-5,6.985149815948737E-5,5.007915433878102E-4,4.328443860295733E-4,0.9637352350682349,0.04111328532488396,0.009767396198539951,0.02123665456397884,0.02649736873322522,0.026197084545654812,0.9828238768588677,0.009638358452752365,0.00642966164907958,0.004461666338815733,0.010746461492052623,0.0073643131220084024,0.9437619024205411,0.011040504121030999,0.00538826742434035,0.002111146766211039,0.050849830155118576,0.010755127690860648,0
3FGL J0009.6-3211,1.2516652345657349,-79.60184478759766,-26.41311203039029,-28.024800369420838,0.02707590994001457,3.7502933618174916,2.309729814529419,-0.596740735,-0.623579577,-0.703260285,-0.637021066,AGN,bcu,0.9873994917113927,0.023714833983928114,5.230315477416331E-4,9.381543800389736E-4,0.012077476740865538,0.02353470127740452,0.9821120746246016,0.03174220236951446,0.006502752288508391,0.0183965147055669,0.01138517308688987,0.019076592005462127,0.9544197078132141,0.022311003110440167,0.023468272121927414,0.018285839052606397,0.022112020064858417,0.012814903421737751,0.966170991218958,0.008291879013334282,0.00653455968720094,0.002646833405160841,0.02729444909384111,0.007359850084661127,1
